keyword,priority,volume,kd,cpc,intent,seed,flag,published,Ссылка конкурента 1,Ссылка конкурента 2,Ссылка конкурента 3,Заголовок конкурента 1,Заголовок конкурента 2,Заголовок конкурента 3,Сниппет конкурента 1,Сниппет конкурента 2,Сниппет конкурента 3
otter ai alternatives,1,390,9,2.48,I,alternatives,ok,,,,,,,,,,
alternatives to otter ai,1,110,12,2.8,I,alternatives,ok,,,,,,,,,,
alternative to otter ai,1,110,9,2.8,I,alternatives,ok,,,,,,,,,,
fireflies ai alternative,1,70,5,4.51,I,alternatives,ok,,,,,,,,,,
fireflies ai alternatives,1,70,12,4.51,I,alternatives,ok,,,,,,,,,,
fireflies alternatives,1,70,20,2.95,I,alternatives,ok,,,,,,,,,,
fathom alternatives,1,50,12,7.69,I,alternatives,ok,,,,,,,,,,
otter ai alternatives,1,390,9,2.48,I,otter ai alternative,ok,,,,,,,,,,
alternatives to otter ai,1,110,12,2.8,I,otter ai alternative,ok,,,,,,,,,,
alternative to otter ai,1,110,9,2.8,I,otter ai alternative,ok,,,,,,,,,,
meeting note taker,1,810,33,4.46,I,meeting notes app,ok,,,,,,,,,,
note taker app,1,740,31,2.03,I,meeting notes app,ok,,,,,,,,,,
meeting recording app,1,590,29,3.86,I,meeting notes app,ok,,,,,,,,,,
meeting recorder app,1,590,32,3.86,I,meeting notes app,ok,,,,,,,,,,
record a meeting app,1,590,18,3.86,I,meeting notes app,ok,,,,,,,,,,
app for recording meetings,1,590,27,3.86,I,meeting notes app,ok,,,,,,,,,,
meeting note,1,480,39,3.85,I,meeting notes app,ok,,,,,,,,,,
app that takes notes for you,1,480,34,2.92,I,meeting notes app,ok,,,,,,,,,,
meeting note taking app,1,480,37,3.72,I,meeting notes app,ok,,,,,,,,,,
best meeting note taking app,1,480,19,3.17,I,meeting notes app,ok,,,,,,,,,,
ai meeting recorder,1,480,40,3.17,I,meeting notes app,ok,,,,,,,,,,
free ai meeting note taker,1,480,40,2.97,I,meeting notes app,ok,,,,,,,,,,
ai note taking apps,1,390,32,2.88,I,meeting notes app,ok,,,,,,,,,,
note taking ai app,1,320,38,3.06,I,meeting notes app,ok,,,,,,,,,,
best ai notetaker,1,320,40,2.57,I,meeting notes app,ok,,,,,,,,,,
audio note taking app,1,260,33,2.61,I,meeting notes app,ok,,,,,,,,,,
best meeting recorder app,1,260,29,3.16,I,meeting notes app,ok,,,,,,,,,,
record and transcribe meetings,1,260,29,3.52,I,meeting notes app,ok,,,,,,,,,,
best app for recording meetings,1,260,20,3.16,I,meeting notes app,ok,,,,,,,,,,
best meeting recording app,1,260,23,3.16,I,meeting notes app,ok,,,,,,,,,,
note taking app with recording,1,260,38,3.82,I,meeting notes app,ok,,,,,,,,,,
meeting recorder and transcriber,1,260,36,3.52,I,meeting notes app,ok,,,,,,,,,,
meeting recording and transcription,1,260,36,3.52,I,meeting notes app,ok,,,,,,,,,,
meeting recording software,1,210,30,6.77,I,meeting notes app,ok,,,,,,,,,,
meeting recorder software,1,210,23,6.77,I,meeting notes app,ok,,,,,,,,,,
voice note taker app,1,210,36,2.48,I,meeting notes app,ok,,,,,,,,,,
note recording app,1,210,39,2.34,I,meeting notes app,ok,,,,,,,,,,
ai meeting summary,1,210,37,3.37,I,meeting notes app,ok,,,,,,,,,,
ai note taker for google meet,1,210,31,6.45,I,meeting notes app,ok,,,,,,,,,,
best app for meeting notes,1,170,20,3.49,I,meeting notes app,ok,,,,,,,,,,
best meeting notes app,1,170,25,3.49,I,meeting notes app,ok,,,,,,,,,,
best meeting transcription app,1,170,29,3.29,I,meeting notes app,ok,,,,,,,,,,
note taker ai free,1,170,36,2.84,I,meeting notes app,ok,,,,,,,,,,
meeting summary ai,1,140,34,3.59,I,meeting notes app,ok,,,,,,,,,,
best ai meeting assistant,1,140,32,4.44,I,meeting notes app,ok,,,,,,,,,,
best ai meeting assistants,1,140,26,4.44,I,meeting notes app,ok,,,,,,,,,,
best meeting minutes app,1,110,20,3.16,I,meeting notes app,ok,,,,,,,,,,
taking notes during meetings,1,110,26,3.56,I,meeting notes app,ok,,,,,,,,,,
best meeting notes,1,110,29,2.13,I,meeting notes app,ok,,,,,,,,,,
minute taking app,1,110,24,3.37,I,meeting notes app,ok,,,,,,,,,,
minute taking apps,1,110,22,3.37,I,meeting notes app,ok,,,,,,,,,,
app minute taker,1,110,29,3.37,I,meeting notes app,ok,,,,,,,,,,
record meeting and transcribe,1,140,36,3.63,I,meeting notes app,ok,,,,,,,,,,
record and transcribe meetings,1,260,29,3.52,I,meeting notes app,ok,,,,,,,,,,
meeting minutes software,1,190,28,5.16,I,meeting notes app,ok,,,,,,,,,,
board meeting minutes software,1,170,17,9.88,I,meeting notes app,ok,,,,,,,,,,
corporate minutes software,1,110,9,11.41,I,meeting notes app,ok,,,,,,,,,,
app for meetings,1,140,16,3.37,I,meeting notes app,ok,,,,,,,,,,
tools for meetings,1,140,16,5.94,I,meeting notes app,ok,,,,,,,,,,
minute recorder,1,140,31,2.62,I,meeting notes app,ok,,,,,,,,,,
minutes recorder,1,140,35,2.62,I,meeting notes app,ok,,,,,,,,,,
ai minute,1,110,37,3.03,I,meeting notes app,ok,,,,,,,,,,
best meeting minutes,1,110,7,2.13,I,meeting notes app,ok,,,,,,,,,,
