keyword,priority,volume,kd,cpc,intent,seed,flag,published,Ссылка конкурента 1,Ссылка конкурента 2,Ссылка конкурента 3,Заголовок конкурента 1,Заголовок конкурента 2,Заголовок конкурента 3,Сниппет конкурента 1,Сниппет конкурента 2,Сниппет конкурента 3
record meeting,2,610,40,3.59,I,meeting recorder,ok,,,,,,,,,,
meeting record,2,590,34,3.06,I,meeting recorder,ok,,,,,,,,,,
meeting recordings,2,590,22,3.06,I,meeting recorder,ok,,,,,,,,,,
record meetings,2,500,22,3.59,I,meeting recorder,ok,,,,,,,,,,
meeting minutes record,2,480,22,3.19,I,meeting recorder,ok,,,,,,,,,,
meeting recording device,2,480,31,1.07,I,meeting recorder,ok,,,,,,,,,,
recording device for meetings,2,480,23,1.07,I,meeting recorder,ok,,,,,,,,,,
recording devices for meetings,2,480,9,1.07,I,meeting recorder,ok,,,,,,,,,,
recording equipment for meetings,2,480,12,1.07,I,meeting recorder,ok,,,,,,,,,,
meeting recording devices,2,480,23,1.07,I,meeting recorder,ok,,,,,,,,,,
record the minutes,2,480,20,3.19,I,meeting recorder,ok,,,,,,,,,,
recording meetings for minutes,2,480,11,3.19,I,meeting recorder,ok,,,,,,,,,,
meeting recorder device,2,480,34,1.07,I,meeting recorder,ok,,,,,,,,,,
recorded meeting minutes,2,480,35,3.19,I,meeting recorder,ok,,,,,,,,,,
recording minutes at meetings,2,480,21,3.19,I,meeting recorder,ok,,,,,,,,,,
recording minutes for meetings,2,480,22,3.19,I,meeting recorder,ok,,,,,,,,,,
recording of minutes of meetings,2,480,19,3.19,I,meeting recorder,ok,,,,,,,,,,
recording of minutes,2,480,18,3.19,I,meeting recorder,ok,,,,,,,,,,
how to record a meeting,2,390,17,1.86,I,meeting recorder,ok,,,,,,,,,,
how to record meetings,2,390,40,1.86,I,meeting recorder,ok,,,,,,,,,,
meeting transcription,2,260,36,3.12,I,meeting recorder,ok,,,,,,,,,,
minute writer,2,260,22,1.21,I,meeting recorder,ok,,,,,,,,,,
minutes writer,2,260,32,1.21,I,meeting recorder,ok,,,,,,,,,,
record meetings software,2,210,23,6.77,I,meeting recorder,ok,,,,,,,,,,
recording meetings software,2,210,16,6.77,I,meeting recorder,ok,,,,,,,,,,
audio recorder for meetings,2,170,16,1.22,I,meeting recorder,ok,,,,,,,,,,
audio recording meetings,2,170,29,1.22,I,meeting recorder,ok,,,,,,,,,,
board meeting minutes software,2,170,17,9.88,I,meeting recorder,ok,,,,,,,,,,
meeting audio recorder,2,170,24,1.22,I,meeting recorder,ok,,,,,,,,,,
meeting voice recorder,2,170,33,1.22,I,meeting recorder,ok,,,,,,,,,,
voice recording devices for meetings,2,170,17,1.22,I,meeting recorder,ok,,,,,,,,,,
meeting notes for salespeople,2,50,0,0,I,meeting for teams,ok,,,,,,,,,,
note taking for sales calls,2,90,10,2.5,I,meeting for teams,ok,,,,,,,,,,
sales call notes template,2,170,15,2.1,I,meeting for teams,ok,,,,,,,,,,
sales meeting notes,2,170,8,2.0,I,meeting for teams,ok,,,,,,,,,,
sales call recorder,2,260,25,4.5,C,meeting for teams,ok,,,,,,,,,,
ai for sales calls,2,390,30,5.2,C,meeting for teams,ok,,,,,,,,,,
meeting notes for lawyers,2,50,5,0,I,meeting for teams,ok,,,,,,,,,,
meeting notes for doctors,2,70,5,0,I,meeting for teams,ok,,,,,,,,,,
client meeting notes,2,140,12,1.8,I,meeting for teams,ok,,,,,,,,,,
client meeting notes template,2,170,9,1.5,I,meeting for teams,ok,,,,,,,,,,
team meeting notes template,2,260,12,1.2,I,meeting for teams,ok,,,,,,,,,,
project meeting notes,2,170,8,1.4,I,meeting for teams,ok,,,,,,,,,,
one on one meeting notes,2,210,14,1.3,I,meeting for teams,ok,,,,,,,,,,
weekly meeting notes,2,140,10,0.9,I,meeting for teams,ok,,,,,,,,,,
board meeting minutes template,2,320,22,2.1,I,meeting for teams,ok,,,,,,,,,,
best dictation software,2,480,24,1.67,I,speech to text app,ok,,,,,,,,,,
voice dictation apps,2,590,32,1.89,I,speech to text app,ok,,,,,,,,,,
best dictation apps,2,590,30,1.66,I,speech to text app,ok,,,,,,,,,,
dictation app iphone,2,390,29,1.25,I,speech to text app,ok,,,,,,,,,,
lecture note taker,2,480,35,1.82,I,speech to text app,ok,,,,,,,,,,
