keyword,priority,volume,kd,cpc,intent,seed,flag,published,Ссылка конкурента 1,Ссылка конкурента 2,Ссылка конкурента 3,Заголовок конкурента 1,Заголовок конкурента 2,Заголовок конкурента 3,Сниппет конкурента 1,Сниппет конкурента 2,Сниппет конкурента 3
zoom ai transcription,2,480,26,2.39,I,zoom meeting notes,ok,,,,,,,,,,
zoom notes,2,480,23,2.3,I,zoom meeting notes,ok,,,,,,,,,,
note zoom,2,480,28,2.3,I,zoom meeting notes,ok,,,,,,,,,,
notes zoom,2,480,23,2.3,I,zoom meeting notes,ok,,,,,,,,,,
zoom ai notes,2,390,26,2.83,I,zoom meeting notes,ok,,,,,,,,,,
ai notetaker for zoom,2,320,31,2.84,I,zoom meeting notes,ok,,,,,,,,,,
zoom ai meeting notes,2,320,39,2.29,I,zoom meeting notes,ok,,,,,,,,,,
zoom notetaker,2,260,34,3.2,I,zoom meeting notes,ok,,,,,,,,,,
ai zoom note taker,2,210,37,3.14,I,zoom meeting notes,ok,,,,,,,,,,
otter ai zoom,2,170,21,0.89,I,zoom meeting notes,ok,,,,,,,,,,
zoom summary,2,170,32,1.98,I,zoom meeting notes,ok,,,,,,,,,,
ai note taker zoom,2,170,31,2.31,I,zoom meeting notes,ok,,,,,,,,,,
zoom meeting minutes,2,110,40,2.9,I,zoom meeting notes,ok,,,,,,,,,,
zoom meeting note taker,2,110,34,2.37,I,zoom meeting notes,ok,,,,,,,,,,
zoom note taking ai,2,110,23,2.74,I,zoom meeting notes,ok,,,,,,,,,,
zoom meeting notes ai,2,110,39,2.59,I,zoom meeting notes,ok,,,,,,,,,,
zoom note taking,2,90,28,2.52,I,zoom meeting notes,ok,,,,,,,,,,
how to take notes during zoom meeting automatically,2,90,38,2.42,I,zoom meeting notes,ok,,,,,,,,,,
ai notetaker zoom,2,70,36,2.53,I,zoom meeting notes,ok,,,,,,,,,,
zoom meeting assistant,2,70,40,4.32,I,zoom meeting notes,ok,,,,,,,,,,
notetaker for zoom,2,70,26,2.73,I,zoom meeting notes,ok,,,,,,,,,,
note taker for zoom,2,70,39,2.88,I,zoom meeting notes,ok,,,,,,,,,,
best zoom ai notetaker,2,50,27,4.82,I,zoom meeting notes,ok,,,,,,,,,,
ai notes zoom,2,50,26,2.61,I,zoom meeting notes,ok,,,,,,,,,,
zoom meeting ai,2,50,36,2.41,I,zoom meeting notes,ok,,,,,,,,,,
can zoom take meeting notes,2,50,26,3.2,I,zoom meeting notes,ok,,,,,,,,,,
best ai note taker for zoom,2,50,32,3.39,I,zoom meeting notes,ok,,,,,,,,,,
meeting notes for salespeople,2,50,0,0,I,meeting for teams,ok,,,,,,,,,,
note taking for sales calls,2,90,10,2.5,I,meeting for teams,ok,,,,,,,,,,
sales call notes template,2,170,15,2.1,I,meeting for teams,ok,,,,,,,,,,
sales meeting notes,2,170,8,2.0,I,meeting for teams,ok,,,,,,,,,,
sales call recorder,2,260,25,4.5,C,meeting for teams,ok,,,,,,,,,,
ai for sales calls,2,390,30,5.2,C,meeting for teams,ok,,,,,,,,,,
meeting notes for lawyers,2,50,5,0,I,meeting for teams,ok,,,,,,,,,,
meeting notes for doctors,2,70,5,0,I,meeting for teams,ok,,,,,,,,,,
client meeting notes,2,140,12,1.8,I,meeting for teams,ok,,,,,,,,,,
client meeting notes template,2,170,9,1.5,I,meeting for teams,ok,,,,,,,,,,
team meeting notes template,2,260,12,1.2,I,meeting for teams,ok,,,,,,,,,,
project meeting notes,2,170,8,1.4,I,meeting for teams,ok,,,,,,,,,,
one on one meeting notes,2,210,14,1.3,I,meeting for teams,ok,,,,,,,,,,
weekly meeting notes,2,140,10,0.9,I,meeting for teams,ok,,,,,,,,,,
board meeting minutes template,2,320,22,2.1,I,meeting for teams,ok,,,,,,,,,,
zoom ai transcription,2,480,26,2.39,I,zoom meeting notes,ok,,,,,,,,,,
zoom notes,2,480,23,2.3,I,zoom meeting notes,ok,,,,,,,,,,
note zoom,2,480,28,2.3,I,zoom meeting notes,ok,,,,,,,,,,
notes zoom,2,480,23,2.3,I,zoom meeting notes,ok,,,,,,,,,,
zoom ai notes,2,390,26,2.83,I,zoom meeting notes,ok,,,,,,,,,,
ai notetaker for zoom,2,320,31,2.84,I,zoom meeting notes,ok,,,,,,,,,,
zoom ai meeting notes,2,320,39,2.29,I,zoom meeting notes,ok,,,,,,,,,,
zoom notetaker,2,260,34,3.2,I,zoom meeting notes,ok,,,,,,,,,,
