keyword,priority,volume,kd,cpc,intent,seed,flag,published,Ссылка конкурента 1,Ссылка конкурента 2,Ссылка конкурента 3,Заголовок конкурента 1,Заголовок конкурента 2,Заголовок конкурента 3,Сниппет конкурента 1,Сниппет конкурента 2,Сниппет конкурента 3
example of notes from a meeting,2,590,21,1.15,I,meeting summary,ok,,,,,,,,,,
meeting recap,2,390,27,3.36,I,meeting summary,ok,,,,,,,,,,
meeting recap format,2,390,18,1.65,I,meeting summary,ok,,,,,,,,,,
meeting recap template,2,390,25,1.65,I,meeting summary,ok,,,,,,,,,,
meeting summary template,2,390,10,1.45,I,meeting summary,ok,,,,,,,,,,
meetings summary,2,390,33,3.47,I,meeting summary,ok,,,,,,,,,,
recap meeting,2,390,21,3.36,I,meeting summary,ok,,,,,,,,,,
meeting synopsis template,2,390,12,1.45,I,meeting summary,ok,,,,,,,,,,
recap of a meeting,2,390,15,3.36,I,meeting summary,ok,,,,,,,,,,
meeting recap templates,2,390,25,1.65,I,meeting summary,ok,,,,,,,,,,
meeting summary templates,2,390,9,1.45,I,meeting summary,ok,,,,,,,,,,
summary of meeting,2,390,25,3.47,I,meeting summary,ok,,,,,,,,,,
summary of meetings,2,390,32,3.47,I,meeting summary,ok,,,,,,,,,,
summary of meeting template,2,390,14,1.45,I,meeting summary,ok,,,,,,,,,,
summary of the meeting,2,390,21,3.47,I,meeting summary,ok,,,,,,,,,,
template for meeting summary,2,390,22,1.45,I,meeting summary,ok,,,,,,,,,,
template meeting summary,2,390,17,1.45,I,meeting summary,ok,,,,,,,,,,
meeting recaps,2,390,33,3.36,I,meeting summary,ok,,,,,,,,,,
summary meeting template,2,390,12,1.45,I,meeting summary,ok,,,,,,,,,,
transcription summary,2,260,19,1.55,I,meeting summary,ok,,,,,,,,,,
format meeting notes,2,260,27,1.36,I,meeting summary,ok,,,,,,,,,,
ai meeting summary,2,210,37,3.37,I,meeting summary,ok,,,,,,,,,,
