keyword,priority,volume,kd,cpc,intent,seed,flag,published,Ссылка конкурента 1,Ссылка конкурента 2,Ссылка конкурента 3,Заголовок конкурента 1,Заголовок конкурента 2,Заголовок конкурента 3,Сниппет конкурента 1,Сниппет конкурента 2,Сниппет конкурента 3
otter ai alternatives,1,390,9,2.48,I,alternatives,ok,,,,,,,,,,
alternatives to otter ai,1,110,12,2.8,I,alternatives,ok,,,,,,,,,,
alternative to otter ai,1,110,9,2.8,I,alternatives,ok,,,,,,,,,,
fireflies ai alternative,1,70,5,4.51,I,alternatives,ok,,,,,,,,,,
fireflies ai alternatives,1,70,12,4.51,I,alternatives,ok,,,,,,,,,,
fireflies alternatives,1,70,20,2.95,I,alternatives,ok,,,,,,,,,,
fathom alternatives,1,50,12,7.69,I,alternatives,ok,,,,,,,,,,
ai note taking app,1,3600,63,3.16,I,ai meeting notes app,ok,,,,,,,,,,
ai meeting assistant,1,2900,69,4.04,I,ai meeting notes app,ok,,,,,,,,,,
ai notetaker,1,2400,74,3.2,I,ai meeting notes app,ok,,,,,,,,,,
best ai note taking app,1,1900,71,2.66,I,ai meeting notes app,ok,,,,,,,,,,
meeting ai,1,1900,63,2.84,I,ai meeting notes app,ok,,,,,,,,,,
notetaker,1,1800,71,2.59,I,ai meeting notes app,ok,,,,,,,,,,
note taking ai,1,1600,69,3.03,I,ai meeting notes app,ok,,,,,,,,,,
meeting recorder,1,1300,64,3.59,I,ai meeting notes app,ok,,,,,,,,,,
best ai note taker,1,1300,70,2.07,I,ai meeting notes app,ok,,,,,,,,,,
note taker ai,1,1300,71,2.94,I,ai meeting notes app,ok,,,,,,,,,,
ai notetaking,1,1300,72,3.12,I,ai meeting notes app,ok,,,,,,,,,,
ai transcript,1,1500,68,2.08,I,ai meeting notes app,ok,,,,,,,,,,
transcription ai,1,1300,68,1.39,I,ai meeting notes app,ok,,,,,,,,,,
free ai note taker,1,740,44,2.42,I,ai meeting notes app,ok,,,,,,,,,,
take meeting notes,1,660,44,3.3,I,ai meeting notes app,ok,,,,,,,,,,
transcription tool,1,880,48,2.17,I,ai meeting notes app,ok,,,,,,,,,,
ai meeting notes,1,810,54,3.3,I,ai meeting notes app,ok,,,,,,,,,,
transcription tools,1,590,48,2.17,I,ai meeting notes app,ok,,,,,,,,,,
meeting transcription app,1,480,44,3.93,I,ai meeting notes app,ok,,,,,,,,,,
ai notetakers,1,480,64,3.63,I,ai meeting notes app,ok,,,,,,,,,,
meeting transcribe,1,480,50,3.88,I,ai meeting notes app,ok,,,,,,,,,,
automatic note taker,1,390,47,2.88,I,ai meeting notes app,ok,,,,,,,,,,
ai note taker for in person meetings,1,390,45,3.54,I,ai meeting notes app,ok,,,,,,,,,,
auto note taker,1,390,52,2.88,I,ai meeting notes app,ok,,,,,,,,,,
zoom ai note taker,1,390,49,2.66,I,ai meeting notes app,ok,,,,,,,,,,
meeting summaries,1,390,50,3.47,I,ai meeting notes app,ok,,,,,,,,,,
audio note taking,1,390,44,2.67,I,ai meeting notes app,ok,,,,,,,,,,
meeting note taker app,1,480,49,3.72,I,ai meeting notes app,ok,,,,,,,,,,
minutes of meeting recorder,1,480,44,3.19,I,ai meeting notes app,ok,,,,,,,,,,
meeting minutes recorder,1,480,44,3.19,I,ai meeting notes app,ok,,,,,,,,,,
meeting minute recorder,1,480,45,3.19,I,ai meeting notes app,ok,,,,,,,,,,
record meeting notes,1,480,42,3.19,I,ai meeting notes app,ok,,,,,,,,,,
ai note app,1,480,41,1.57,I,ai meeting notes app,ok,,,,,,,,,,
note taker free,1,390,46,1.64,I,ai meeting notes app,ok,,,,,,,,,,
note takers,1,440,61,1.63,I,ai meeting notes app,ok,,,,,,,,,,
takes notes,1,610,43,1.39,I,ai meeting notes app,ok,,,,,,,,,,
ai note,1,1100,64,1.33,I,ai note taker alternatives,ok,,,,,,,,,,
note maker,1,1500,61,1.13,I,ai note taker alternatives,ok,,,,,,,,,,
create notes,1,500,49,0.97,I,ai note taker alternatives,ok,,,,,,,,,,
make notes,1,990,43,1.12,I,ai note taker alternatives,ok,,,,,,,,,,
computer note taker,1,390,51,1.38,I,ai note taker alternatives,ok,,,,,,,,,,
audio to note,1,390,53,1.39,I,ai note taker alternatives,ok,,,,,,,,,,
note take,1,370,49,1.63,I,ai note taker alternatives,ok,,,,,,,,,,
