keyword,priority,volume,kd,cpc,intent,seed,flag,published,Ссылка конкурента 1,Ссылка конкурента 2,Ссылка конкурента 3,Заголовок конкурента 1,Заголовок конкурента 2,Заголовок конкурента 3,Сниппет конкурента 1,Сниппет конкурента 2,Сниппет конкурента 3
meeting notes template,1,6600,71,1.01,I,meeting notes,ok,,,,,,,,,,
meeting minutes,2,6600,68,1.94,I,meeting notes,ok,,,,,,,,,,
minutes of minutes,3,6600,65,1.94,I,meeting notes,ok,,,,,,,,,,
meeting minutes for,4,5700,69,1.94,I,meeting notes,ok,,,,,,,,,,
meeting assistant,5,3600,71,4.21,I,meeting notes,ok,,,,,,,,,,
ai meeting note taker,6,3200,72,4.3,I,meeting notes,ok,,,,,,,,,,
ai meeting assistant,7,2900,69,4.04,I,meeting notes,ok,,,,,,,,,,
ai note-taking,8,2400,71,3.12,I,meeting notes,ok,,,,,,,,,,
ai notetaker,9,2400,74,3.2,I,meeting notes,ok,,,,,,,,,,
ai meeting,10,1900,66,2.84,I,meeting notes,ok,,,,,,,,,,
meeting ai,11,1900,63,2.84,I,meeting notes,ok,,,,,,,,,,
note taking ai,12,1600,69,3.03,I,meeting notes,ok,,,,,,,,,,
ai notetaking,13,1300,72,3.12,I,meeting notes,ok,,,,,,,,,,
ai meeting notes,14,810,54,3.3,I,meeting notes,ok,,,,,,,,,,
free ai note taker,15,740,44,2.42,I,meeting notes,ok,,,,,,,,,,
take meeting notes,16,660,44,3.3,I,meeting notes,ok,,,,,,,,,,
take notes for me,17,590,45,2.43,I,meeting notes,ok,,,,,,,,,,
meeting transcription app,18,480,44,3.93,I,meeting notes,ok,,,,,,,,,,
meeting transcribe,19,480,50,3.88,I,meeting notes,ok,,,,,,,,,,
minutes of meeting recorder,20,480,44,3.19,I,meeting notes,ok,,,,,,,,,,
meeting minutes recorder,21,480,44,3.19,I,meeting notes,ok,,,,,,,,,,
meeting note taker app,22,480,49,3.72,I,meeting notes,ok,,,,,,,,,,
record meeting notes,23,480,42,3.19,I,meeting notes,ok,,,,,,,,,,
meeting minute recorder,24,480,45,3.19,I,meeting notes,ok,,,,,,,,,,
recording meeting notes,25,480,41,3.19,I,meeting notes,ok,,,,,,,,,,
ai notes,26,390,43,1.33,I,meeting notes,ok,,,,,,,,,,
auto note taker,27,390,52,2.88,I,meeting notes,ok,,,,,,,,,,
meeting summaries,28,390,50,3.47,I,meeting notes,ok,,,,,,,,,,
ai note taker for in person meetings,29,390,45,3.54,I,meeting notes,ok,,,,,,,,,,
format minutes of meeting,30,360,43,0.76,"I,N",meeting notes,ok,,,,,,,,,,
minutes notes,31,320,50,2.39,I,meeting notes,ok,,,,,,,,,,
minutes note,32,320,43,2.39,I,meeting notes,ok,,,,,,,,,,
ai notes taker,33,320,44,3.12,I,meeting notes,ok,,,,,,,,,,
ai meeting note taker free,34,320,42,3.28,I,meeting notes,ok,,,,,,,,,,
meeting ai note taker,35,320,49,4.13,I,meeting notes,ok,,,,,,,,,,
best free ai meeting note taker,36,320,44,2.19,I,meeting notes,ok,,,,,,,,,,
meeting transcript,37,260,56,3.12,I,meeting notes,ok,,,,,,,,,,
ai meeting transcription,38,260,56,3.58,I,meeting notes,ok,,,,,,,,,,
meeting minutes ai,39,260,47,3.5,I,meeting notes,ok,,,,,,,,,,
ai meeting transcript,40,260,62,3.58,I,meeting notes,ok,,,,,,,,,,
ai note taker for meetings,41,260,46,4.73,I,meeting notes,ok,,,,,,,,,,
meeting note taking,42,250,43,3.3,I,meeting notes,ok,,,,,,,,,,
note taker for meetings,43,210,53,3.47,I,meeting notes,ok,,,,,,,,,,
ai for meeting minutes,44,210,41,2.99,I,meeting notes,ok,,,,,,,,,,
ai that listens and takes notes,45,210,54,4.21,I,meeting notes,ok,,,,,,,,,,
meeting transcriber,46,210,49,4.02,I,meeting notes,ok,,,,,,,,,,
meeting note taker ai,47,210,56,3.97,I,meeting notes,ok,,,,,,,,,,
meeting note taking ai,48,210,56,3.97,I,meeting notes,ok,,,,,,,,,,
ai note taking for meetings,49,210,45,4.14,I,meeting notes,ok,,,,,,,,,,
ai meeting summaries,50,210,46,3.37,I,meeting notes,ok,,,,,,,,,,
ai transcription,1,5400,68,2.08,I,meeting transcription software,ok,,,,,,,,,,
meeting assistant,1,3600,71,4.21,I,meeting transcription software,ok,,,,,,,,,,
ai note taking app,1,3600,63,3.16,I,meeting transcription software,ok,,,,,,,,,,
transcription app,1,3200,67,2.24,I,meeting transcription software,ok,,,,,,,,,,
ai meeting note taker,1,3200,72,4.3,I,meeting transcription software,ok,,,,,,,,,,
transcribe app,1,2900,73,2.24,I,meeting transcription software,ok,,,,,,,,,,
ai meeting assistant,1,2900,69,4.04,I,meeting transcription software,ok,,,,,,,,,,
transcription apps,1,2400,67,2.24,I,meeting transcription software,ok,,,,,,,,,,
ai note-taking,1,2400,71,3.12,I,meeting transcription software,ok,,,,,,,,,,
ai notetaker,1,2400,74,3.2,I,meeting transcription software,ok,,,,,,,,,,
ai meeting,1,1900,66,2.84,I,meeting transcription software,ok,,,,,,,,,,
meeting ai,1,1900,63,2.84,I,meeting transcription software,ok,,,,,,,,,,
meeting recording,1,1800,70,3.59,I,meeting transcription software,ok,,,,,,,,,,
record a meeting,1,1800,71,3.59,I,meeting transcription software,ok,,,,,,,,,,
notetaker,1,1800,71,2.59,I,meeting transcription software,ok,,,,,,,,,,
note taking ai,1,1600,69,3.03,I,meeting transcription software,ok,,,,,,,,,,
app to transcribe,1,1500,69,2.24,I,meeting transcription software,ok,,,,,,,,,,
ai transcript,1,1500,68,2.08,I,meeting transcription software,ok,,,,,,,,,,
meeting recorder,1,1300,64,3.59,I,meeting transcription software,ok,,,,,,,,,,
best ai note taker,1,1300,70,2.07,I,meeting transcription software,ok,,,,,,,,,,
note taker ai,1,1300,71,2.94,I,meeting transcription software,ok,,,,,,,,,,
ai notetaking,1,1300,72,3.12,I,meeting transcription software,ok,,,,,,,,,,
transcription tool,1,880,48,2.17,I,meeting transcription software,ok,,,,,,,,,,
free ai note taker,1,740,44,2.42,I,meeting transcription software,ok,,,,,,,,,,
transcription tools,1,590,48,2.17,I,meeting transcription software,ok,,,,,,,,,,
meeting transcription app,1,480,44,3.93,I,meeting transcription software,ok,,,,,,,,,,
minutes of meeting recorder,1,480,44,3.19,I,meeting transcription software,ok,,,,,,,,,,
meeting minutes recorder,1,480,44,3.19,I,meeting transcription software,ok,,,,,,,,,,
meeting note taker app,1,480,49,3.72,I,meeting transcription software,ok,,,,,,,,,,
meeting minute recorder,1,480,45,3.19,I,meeting transcription software,ok,,,,,,,,,,
ai transcription tool,1,480,54,3.04,I,meeting transcription software,ok,,,,,,,,,,
ai notetakers,1,480,64,3.63,I,meeting transcription software,ok,,,,,,,,,,
