keyword,priority,volume,kd,cpc,intent,seed,flag,published,Ссылка конкурента 1,Ссылка конкурента 2,Ссылка конкурента 3,Заголовок конкурента 1,Заголовок конкурента 2,Заголовок конкурента 3,Сниппет конкурента 1,Сниппет конкурента 2,Сниппет конкурента 3
note generator,P1,1600,41,1.23,I,auto note taker,ok,,,,,,,,,,
make notes,P1,990,43,1.12,I,ai note taker,ok,,,,,,,,,,
teams ai meeting notes,P1,590,20,2.47,I,ai meeting notes,ok,,,,,,,,,,
microsoft teams ai note taker,P1,590,26,2.59,I,ai meeting notes,ok,,,,,,,,,,
notes generator,P1,720,40,1.23,I,auto note taker,ok,,,,,,,,,,
video to notes,P1,590,27,1.23,I,auto note taker,ok,,,,,,,,,,
teams ai note taker,P1,590,32,2.94,I,ai meeting notes,ok,,,,,,,,,,
record meetings,P1,500,22,3.59,I,ai meeting notes,ok,,,,,,,,,,
meeting record,P1,590,34,3.06,I,ai meeting notes,ok,,,,,,,,,,
notes record,P1,590,35,1.58,I,ai note taker,ok,,,,,,,,,,
transcribe app for iphone,P1,590,36,1.72,I,meeting notes app,ok,,,,,,,,,,
record meeting,P1,610,40,3.59,I,ai meeting notes,ok,,,,,,,,,,
transcribe app iphone,P1,590,39,1.72,I,meeting notes app,ok,,,,,,,,,,
record note,P1,590,42,1.58,I,ai note taker,ok,,,,,,,,,,
notes recording,P1,590,44,1.58,I,ai meeting notes,ok,,,,,,,,,,
notes maker,P1,540,42,1.13,I,ai note taker,ok,,,,,,,,,,
note record,P1,590,47,1.58,I,ai note taker,ok,,,,,,,,,,
recording notes,P1,590,49,1.58,I,ai meeting notes,ok,,,,,,,,,,
create notes,P1,500,49,0.97,I,ai note taker,ok,,,,,,,,,,
minutes of minutes,P2,6600,65,1.94,I,ai meeting notes,ok,,,,,,,,,,
note voice,P2,1900,65,0.74,I,ai note taker,ok,,,,,,,,,,
note maker,P2,1500,61,1.13,I,ai note taker,ok,,,,,,,,,,
notes make,P2,1500,61,0.92,I,ai note taker,ok,,,,,,,,,,
recording minutes of meeting,P2,480,10,3.19,I,ai meeting notes,ok,,,,,,,,,,
