keyword,priority,volume,kd,cpc,intent,seed,flag,published,Ссылка конкурента 1,Ссылка конкурента 2,Ссылка конкурента 3,Заголовок конкурента 1,Заголовок конкурента 2,Заголовок конкурента 3,Сниппет конкурента 1,Сниппет конкурента 2,Сниппет конкурента 3
self host llm,P1,590,11,1.94,I,local llm,ok,,,,,,,,,,
self hosted llm,P1,590,13,1.94,I,local llm,ok,,,,,,,,,,
best local llm for coding,P1,590,14,2.95,I,local llm,ok,,,,,,,,,,
self-hosted llm,P1,590,18,1.94,I,local llm,ok,,,,,,,,,,
best voice to text apps,P1,590,20,1.56,I,offline speech to text,ok,,,,,,,,,,
ai offline,P1,540,15,1.59,I,offline ai,ok,,,,,,,,,,
air gapped,P2,910,36,0.19,I,air gapped computer,ok,,,,,,,,,,
best voice to text app,P2,590,23,1.56,I,offline speech to text,ok,,,,,,,,,,
speech to text for windows,P2,590,24,1.75,I,offline speech to text,ok,,,,,,,,,,
forward edge ai,P2,480,12,0.3,"I,N",edge ai,ok,,,,,,,,,,
best dictation app,P2,590,30,1.66,I,offline speech to text,ok,,,,,,,,,,
best talk to text software,P2,590,30,1.7,I,offline speech to text,ok,,,,,,,,,,
best dictation apps,P2,590,30,1.66,I,offline speech to text,ok,,,,,,,,,,
best app for dictation,P2,590,30,1.66,I,offline speech to text,ok,,,,,,,,,,
a device,P2,590,31,3,I,on device ai,ok,,,,,,,,,,
best app for speech to text,P2,590,31,1.56,I,offline speech to text,ok,,,,,,,,,,
windows voice to text software,P2,590,31,1.75,I,offline speech to text,ok,,,,,,,,,,
free speech to text,P2,660,39,1.41,I,offline speech to text,ok,,,,,,,,,,
top speech to text software,P2,590,32,1.7,I,offline speech to text,ok,,,,,,,,,,
voice dictation apps,P2,590,32,1.89,I,offline speech to text,ok,,,,,,,,,,
speech to text best app,P2,590,33,1.56,I,offline speech to text,ok,,,,,,,,,,
best speech to text software,P2,590,34,1.7,I,offline speech to text,ok,,,,,,,,,,
good voice to text app,P2,590,34,1.56,I,offline speech to text,ok,,,,,,,,,,
voice identification app,P2,480,20,1.16,I,offline speech to text,ok,,,,,,,,,,
speech to text in windows 10,P2,480,20,1.13,I,offline speech to text,ok,,,,,,,,,,
