keyword,priority,volume,kd,cpc,intent,seed,flag,published,Ссылка конкурента 1,Ссылка конкурента 2,Ссылка конкурента 3,Заголовок конкурента 1,Заголовок конкурента 2,Заголовок конкурента 3,Сниппет конкурента 1,Сниппет конкурента 2,Сниппет конкурента 3
transcript generator,P1,8100,52,0.97,I,ai transcription app,ok,,,,,,,,,,
free audio transcription,P1,3200,55,1.51,I,automatic meeting transcription,ok,,,,,,,,,,
free transcribe audio to text,P1,2400,53,1.75,I,ai transcription app,ok,,,,,,,,,,
free transcribe audio,P1,2400,55,1.51,I,ai transcription app,ok,,,,,,,,,,
zoom transcript,P1,720,13,1.75,I,automatic meeting transcription,ok,,,,,,,,,,
live transcript,P1,880,32,1.58,I,live transcription app,ok,,,,,,,,,,
transcribe voice memos,P1,660,16,1.59,I,meeting speech to text,ok,,,,,,,,,,
live transcription,P1,880,38,1.58,I,live transcription app,ok,,,,,,,,,,
transcriptor,P1,880,39,0.9,I,ai transcription app,ok,,,,,,,,,,
audio to text free,P1,1100,53,0.84,I,ai transcription app,ok,,,,,,,,,,
free transcription,P1,920,44,0.89,I,automatic meeting transcription,ok,,,,,,,,,,
zoom meeting transcript,P1,590,13,2.16,I,automatic meeting transcription,ok,,,,,,,,,,
how to write a transcript,P1,590,15,1.34,I,meeting audio transcription,ok,,,,,,,,,,
transcribe an audio file,P1,740,35,1.79,I,ai transcription app,ok,,,,,,,,,,
how do you write a transcript,P1,590,19,1.34,I,meeting audio transcription,ok,,,,,,,,,,
how to use voice to text,P1,740,37,0.3,I,meeting speech to text,ok,,,,,,,,,,
transcription tool,P1,880,48,2.17,I,meeting transcription software,ok,,,,,,,,,,
transcribir,P1,810,44,0.9,I,ai transcription app,ok,,,,,,,,,,
google live transcribe,P1,720,37,1.37,"I,N",live transcription app,ok,,,,,,,,,,
transcribe mp3,P1,610,31,0.84,I,meeting speech to text,ok,,,,,,,,,,
audio to transcript free,P1,590,29,0.98,I,ai transcription app,ok,,,,,,,,,,
real time transcription software,P1,590,30,0,I,live transcription app,ok,,,,,,,,,,
live transcribe app for android,P1,590,34,1.71,"I,N",live transcription app,ok,,,,,,,,,,
google transcribe audio to text,P1,590,35,1.82,I,meeting speech to text,ok,,,,,,,,,,
transcription of audio files to text,P1,590,36,2.04,I,transcribe meeting,ok,,,,,,,,,,
recording transcription,P1,660,45,1.67,"L,C",automatic meeting transcription,ok,,,,,,,,,,
transcription software from audio to text,P1,590,41,2.14,I,meeting transcription software,ok,,,,,,,,,,
transcribe audio file to text,P1,590,41,2.04,I,ai transcription app,ok,,,,,,,,,,
audio file to text transcription,P1,590,41,2.04,I,ai transcription app,ok,,,,,,,,,,
how to turn audio into text,P1,590,41,1.83,I,meeting audio transcription,ok,,,,,,,,,,
recording and transcription,P1,660,48,2.29,"L,C",meeting transcription software,ok,,,,,,,,,,
transcribing audio recordings,P1,590,43,2.01,"L,C",automatic meeting transcription,ok,,,,,,,,,,
free audio transcription service,P1,590,43,0.98,I,meeting audio transcription,ok,,,,,,,,,,
audio recording to transcript,P1,590,44,2.01,I,automatic meeting transcription,ok,,,,,,,,,,
audio text transcription software,P1,590,45,1.24,I,meeting transcription software,ok,,,,,,,,,,
audio file transcription software,P1,590,46,1.44,I,meeting transcription software,ok,,,,,,,,,,
transcribe audio recording to text software,P1,590,46,2.14,I,automatic meeting transcription,ok,,,,,,,,,,
transcribe audio recording,P1,590,46,2.01,I,meeting audio transcription,ok,,,,,,,,,,
create a transcript,P1,610,48,1.12,I,automatic meeting transcription,ok,,,,,,,,,,
transcription from audio file,P1,590,47,1.44,I,transcribe meeting,ok,,,,,,,,,,
free audio transcription services,P1,590,47,0.98,I,transcribe meeting,ok,,,,,,,,,,
transcript of audio,P1,660,53,1.26,I,automatic meeting transcription,ok,,,,,,,,,,
transcription tools,P1,590,48,2.17,I,meeting transcription software,ok,,,,,,,,,,
audio to text transcription software,P1,590,48,1.24,I,automatic meeting transcription,ok,,,,,,,,,,
audio to text transcribe software,P1,590,50,1.24,I,meeting transcription software,ok,,,,,,,,,,
software for transcription audio to text,P1,590,50,2.14,I,meeting transcription software,ok,,,,,,,,,,
transcription free,P1,590,50,1.09,I,automatic meeting transcription,ok,,,,,,,,,,
free transcription service,P1,590,50,2.51,I,ai transcription app,ok,,,,,,,,,,
how to convert audio to text,P1,590,50,1.83,I,meeting speech to text,ok,,,,,,,,,,
words to text,P1,590,50,0.96,I,meeting speech to text,ok,,,,,,,,,,
free transcription services,P1,590,51,2.51,I,ai transcription app,ok,,,,,,,,,,
transcribe the words,P1,590,52,1.32,I,automatic meeting transcription,ok,,,,,,,,,,
transcription web,P1,590,53,0.61,I,automatic meeting transcription,ok,,,,,,,,,,
transcriber audio,P1,590,53,2.01,I,automatic meeting transcription,ok,,,,,,,,,,
transcribe online,P1,590,53,0.98,I,ai transcription app,ok,,,,,,,,,,
transcribe voice recording to text,P1,590,53,2.14,I,ai transcription app,ok,,,,,,,,,,
transcription services free,P1,590,53,2.51,I,transcribe meeting,ok,,,,,,,,,,
free transcribing service,P1,590,53,2.51,I,transcribe meeting,ok,,,,,,,,,,
transcription online,P1,590,54,0.98,I,automatic meeting transcription,ok,,,,,,,,,,
transcribing software audio to text,P1,590,55,2.14,I,meeting transcription software,ok,,,,,,,,,,
audio to text converter,P2,5700,59,1.04,I,ai transcription app,ok,,,,,,,,,,
transcription services,P2,5400,63,4.6,"L,C",ai transcription app,ok,,,,,,,,,,
audio file to text,P2,5700,65,0.9,I,meeting audio transcription,ok,,,,,,,,,,
transcriber,P2,4400,61,1.1,"L,C",automatic meeting transcription,ok,,,,,,,,,,
transcription service,P2,3600,63,4.6,"L,C",ai transcription app,ok,,,,,,,,,,
text transcription,P2,3200,65,1.27,I,automatic meeting transcription,ok,,,,,,,,,,
audio into text,P2,2400,61,0.9,I,ai transcription app,ok,,,,,,,,,,
transcript text,P2,1800,61,1.12,I,ai transcription app,ok,,,,,,,,,,
transcript ai,P2,1900,64,1.39,I,automatic meeting transcription,ok,,,,,,,,,,
get a transcript,P2,1800,62,0.99,I,ai transcription app,ok,,,,,,,,,,
convert audio to text,P2,1800,63,1.37,I,ai transcription app,ok,,,,,,,,,,
transcribes,P2,1300,65,1.1,I,automatic meeting transcription,ok,,,,,,,,,,
translate voice to text,P2,1100,64,1.1,I,meeting speech to text,ok,,,,,,,,,,
video transcription software,P2,480,29,2.48,I,meeting transcription software,ok,,,,,,,,,,
video transcript software,P2,480,29,2.48,I,meeting transcription software,ok,,,,,,,,,,
how to transcribe zoom meetings,P2,390,18,1.98,I,transcribe meeting,ok,,,,,,,,,,
app that transcribes audio to text,P2,480,36,2.89,I,live transcription app,ok,,,,,,,,,,
app transcribe audio to text,P2,480,36,2.89,I,live transcription app,ok,,,,,,,,,,
software for video transcription,P2,480,36,2.48,I,meeting transcription software,ok,,,,,,,,,,
software to transcribe video,P2,480,36,2.48,I,meeting transcription software,ok,,,,,,,,,,
app that transcribes audio into text,P2,480,38,2.89,I,live transcription app,ok,,,,,,,,,,
voice into,P2,810,64,1.63,I,meeting speech to text,ok,,,,,,,,,,
live transcribe and sound notifications,P2,390,29,0.79,"I,N",live transcription app,ok,,,,,,,,,,
app to transcribe audio to text,P2,480,43,2.89,I,live transcription app,ok,,,,,,,,,,
video transcribing software,P2,480,44,2.48,I,meeting transcription software,ok,,,,,,,,,,
transcription software audio to text,P2,590,56,2.14,I,meeting transcription software,ok,,,,,,,,,,
online transcriber,P2,590,56,0.98,I,automatic meeting transcription,ok,,,,,,,,,,
live transcribe app,P2,390,34,0.92,"I,N",live transcription app,ok,,,,,,,,,,
transcribing service free,P2,590,57,2.51,I,meeting transcription software,ok,,,,,,,,,,
speech to text apps for android,P2,390,36,0.75,I,live transcription app,ok,,,,,,,,,,
transcribe website,P2,590,58,1.28,I,automatic meeting transcription,ok,,,,,,,,,,
does zoom transcribe meetings,P2,320,23,3.04,I,transcribe meeting,ok,,,,,,,,,,
speech to text app for android,P2,390,37,0.75,I,live transcription app,ok,,,,,,,,,,
software for transcribing video,P2,480,50,2.48,I,meeting transcription software,ok,,,,,,,,,,
real time transcriptions,P2,320,25,2.49,I,live transcription app,ok,,,,,,,,,,
android voice transcription,P2,390,40,2.42,I,live transcription app,ok,,,,,,,,,,
best speech-to-text app for hearing impaired free,P2,320,28,0,I,live transcription app,ok,,,,,,,,,,
real time transcripts,P2,320,28,2.49,I,live transcription app,ok,,,,,,,,,,
transcriptions online,P2,590,61,0.98,I,automatic meeting transcription,ok,,,,,,,,,,
transcription website,P2,590,62,1.28,I,automatic meeting transcription,ok,,,,,,,,,,
transcribe web,P2,590,62,1.28,I,automatic meeting transcription,ok,,,,,,,,,,
ai transcription tool,P2,480,54,3.04,I,meeting transcription software,ok,,,,,,,,,,
recording to text,P2,480,54,1.4,I,automatic meeting transcription,ok,,,,,,,,,,
app to transcribe audio,P2,320,31,2.67,I,live transcription app,ok,,,,,,,,,,
online transcription,P2,590,63,0.98,I,automatic meeting transcription,ok,,,,,,,,,,
transkriptionstool,P2,590,63,2.17,I,automatic meeting transcription,ok,,,,,,,,,,
transcribing website,P2,590,63,1.28,I,automatic meeting transcription,ok,,,,,,,,,,
sound to text app,P2,390,46,2.13,I,live transcription app,ok,,,,,,,,,,
real time transcription,P2,320,35,2.49,I,live transcription app,ok,,,,,,,,,,
free speech to text app,P2,390,47,1.2,I,live transcription app,ok,,,,,,,,,,
transcription maker,P2,540,62,0.72,"L,C",automatic meeting transcription,ok,,,,,,,,,,
audio to text app,P2,390,48,2.13,I,live transcription app,ok,,,,,,,,,,
real-time transcription,P2,320,37,2.49,I,live transcription app,ok,,,,,,,,,,
