keyword,priority,volume,kd,cpc,intent,seed,flag,published,Ссылка конкурента 1,Ссылка конкурента 2,Ссылка конкурента 3,Заголовок конкурента 1,Заголовок конкурента 2,Заголовок конкурента 3,Сниппет конкурента 1,Сниппет конкурента 2,Сниппет конкурента 3
what is google workspace,2,12100,85,0.64,I,google workspace,ok,,,,,,,,,,
what is google meet,2,6600,70,0.02,"I,N",google meet,ok,,,,,,,,,,
how to use google meet,2,1500,67,0.03,I,google meet,ok,,,,,,,,,,
how to record in google meet,2,590,14,0.68,I,google meet recorder,ok,,,,,,,,,,
how to record google meet,2,590,14,1.33,I,google meet recorder,ok,,,,,,,,,,
where to find google meet recordings,2,590,7,0,I,google meet recorder,ok,,,,,,,,,,
can you screen share on google meet,2,590,12,0,I,google meet,ok,,,,,,,,,,
how to send google meet invite,2,590,14,0,I,google meet,ok,,,,,,,,,,
how to share screen in google meet,2,590,12,0,I,google meet,ok,,,,,,,,,,
can you share screen on google meet,2,590,12,0,I,google meet,ok,,,,,,,,,,
how to use google workspace,2,590,40,0.95,I,google workspace,ok,,,,,,,,,,
how to cancel a meeting in google calendar,2,480,7,0,I,google meet,ok,,,,,,,,,,
how to blur background in google meet,2,480,7,0,I,google meet,ok,,,,,,,,,,
how to make a google meet,2,480,24,1.97,"I,N",google meet,ok,,,,,,,,,,
how to change your name on google meet,2,480,10,0,I,google meet,ok,,,,,,,,,,
how to blur background on google meet,2,480,7,0,I,google meet,ok,,,,,,,,,,
how to share your screen on google meet,2,480,12,0,I,google meet,ok,,,,,,,,,,
where are google meet recordings saved,2,390,0,0,I,google meet recorder,ok,,,,,,,,,,
can you share your screen on google meet,2,390,12,0,I,google meet,ok,,,,,,,,,,
how to change background in google meet,2,390,8,0,I,google meet,ok,,,,,,,,,,
how to change background on google meet,2,390,8,0,I,google meet,ok,,,,,,,,,,
how to do google meet,2,390,21,0.4,"I,N",google meet,ok,,,,,,,,,,
how to do google meeting,2,390,20,0.4,"I,N",google meet,ok,,,,,,,,,,
how to change background at google meet,2,390,8,0,I,google meet,ok,,,,,,,,,,
