keyword,priority,volume,kd,cpc,intent,seed,flag,published,Ссылка конкурента 1,Ссылка конкурента 2,Ссылка конкурента 3,Заголовок конкурента 1,Заголовок конкурента 2,Заголовок конкурента 3,Сниппет конкурента 1,Сниппет конкурента 2,Сниппет конкурента 3
clinic note,P1,1300,51,3.77,"I,N",clinical notes ai,ok,,,,,,,,,,
one on one template,P1,590,6,1.58,I,one on one meeting notes,ok,,,,,,,,,,
one to one questions,P1,590,9,0.1,I,one on one meeting notes,ok,,,,,,,,,,
agenda for one on one meetings,P1,590,9,0.16,I,one on one meeting notes,ok,,,,,,,,,,
1 to 1 questions,P1,590,9,0.1,I,one on one meeting notes,ok,,,,,,,,,,
1 on 1 templates,P1,590,10,1.58,I,one on one meeting notes,ok,,,,,,,,,,
one on ones template,P1,590,11,1.58,I,one on one meeting notes,ok,,,,,,,,,,
1 on 1 template,P1,590,13,1.58,I,one on one meeting notes,ok,,,,,,,,,,
one on one questions,P1,590,15,0.1,I,one on one meeting notes,ok,,,,,,,,,,
one on one agenda,P1,590,15,0.16,I,one on one meeting notes,ok,,,,,,,,,,
agenda for one on one meeting,P1,590,15,0.16,I,one on one meeting notes,ok,,,,,,,,,,
agenda for one to one meeting,P1,590,15,0.16,I,one on one meeting notes,ok,,,,,,,,,,
ai doctors note,P1,590,16,3.02,I,medical transcription app,ok,,,,,,,,,,
1-1 meeting,P1,590,17,0,I,one on one meeting notes,ok,,,,,,,,,,
1 1 meeting,P1,590,17,0,I,one on one meeting notes,ok,,,,,,,,,,
1 on 1 agenda,P1,590,20,0.16,I,one on one meeting notes,ok,,,,,,,,,,
one one meeting agenda,P1,590,20,0.16,I,one on one meeting notes,ok,,,,,,,,,,
agenda for 1 on 1 meeting,P1,590,20,0.16,I,one on one meeting notes,ok,,,,,,,,,,
one on one meetings agenda,P1,590,22,0.16,I,one on one meeting notes,ok,,,,,,,,,,
1on1 meetings,P1,590,26,0,I,one on one meeting notes,ok,,,,,,,,,,
one on one meeting agenda,P1,590,27,0.16,I,one on one meeting notes,ok,,,,,,,,,,
one to one meeting agenda,P1,590,27,0.16,I,one on one meeting notes,ok,,,,,,,,,,
best ai medical scribe,P1,590,30,8.5,I,medical transcription app,ok,,,,,,,,,,
1on1 meeting,P1,590,33,0,I,one on one meeting notes,ok,,,,,,,,,,
ai scribe medical,P1,590,48,6.07,I,medical transcription app,ok,,,,,,,,,,
ai for therapist,P1,590,50,2.59,I,clinical notes ai,ok,,,,,,,,,,
clinical notes,P2,6600,57,3.77,I,clinical notes ai,ok,,,,,,,,,,
ai medical scribe,P2,4400,60,8.03,I,medical transcription app,ok,,,,,,,,,,
1 on 1,P2,4400,61,3.93,I,one on one meeting notes,ok,,,,,,,,,,
clinical note,P2,3100,59,3.77,I,clinical notes ai,ok,,,,,,,,,,
chart notes,P2,2400,61,0.31,"I,N",clinical notes ai,ok,,,,,,,,,,
1 on 1 template meeting,P2,480,6,1.7,I,one on one meeting notes,ok,,,,,,,,,,
weekly one,P2,480,12,0,I,one on one meeting notes,ok,,,,,,,,,,
1-1 template,P2,480,13,1.8,I,one on one meeting notes,ok,,,,,,,,,,
1 1 template,P2,480,13,1.8,I,one on one meeting notes,ok,,,,,,,,,,
1 1 meeting template,P2,480,13,1.7,I,one on one meeting notes,ok,,,,,,,,,,
1 1s,P2,480,23,0,I,one on one meeting notes,ok,,,,,,,,,,
one on one meeting agenda template,P2,390,7,1.43,I,one on one meeting notes,ok,,,,,,,,,,
one one one meeting agenda template,P2,390,7,1.43,I,one on one meeting notes,ok,,,,,,,,,,
one to one agenda template,P2,390,7,1.43,I,one on one meeting notes,ok,,,,,,,,,,
1 on 1 meeting agenda template,P2,390,9,1.43,I,one on one meeting notes,ok,,,,,,,,,,
one on one agenda template,P2,390,9,1.43,I,one on one meeting notes,ok,,,,,,,,,,
1 on 1 agenda template,P2,390,10,1.43,I,one on one meeting notes,ok,,,,,,,,,,
one to one meetings,P2,470,26,0.38,I,one on one meeting notes,ok,,,,,,,,,,
one on one meeting agenda sample,P2,390,13,1.43,I,one on one meeting notes,ok,,,,,,,,,,
sample one on one meeting agenda,P2,390,13,1.43,I,one on one meeting notes,ok,,,,,,,,,,
one on one meetings,P2,470,28,0.38,I,one on one meeting notes,ok,,,,,,,,,,
one on ones,P2,390,15,0.73,I,one on one meeting notes,ok,,,,,,,,,,
patient note,P2,480,31,0.27,I,clinical notes ai,ok,,,,,,,,,,
patients notes,P2,480,32,0.27,"I,N",clinical notes ai,ok,,,,,,,,,,
one to one meeting agenda template,P2,390,18,1.43,I,one on one meeting notes,ok,,,,,,,,,,
one to ones,P2,390,20,0.73,I,one on one meeting notes,ok,,,,,,,,,,
one to one document,P2,320,6,0,I,one on one meeting notes,ok,,,,,,,,,,
one on one document,P2,320,6,0,I,one on one meeting notes,ok,,,,,,,,,,
manager tools one on one template,P2,320,9,3.27,I,one on one meeting notes,ok,,,,,,,,,,
one on one template manager tools,P2,320,9,3.27,I,one on one meeting notes,ok,,,,,,,,,,
one on one conversation,P2,320,17,0,I,one on one meeting notes,ok,,,,,,,,,,
