keyword,priority,volume,kd,cpc,intent,seed,flag,published,Ссылка конкурента 1,Ссылка конкурента 2,Ссылка конкурента 3,Заголовок конкурента 1,Заголовок конкурента 2,Заголовок конкурента 3,Сниппет конкурента 1,Сниппет конкурента 2,Сниппет конкурента 3
mp3 to text,P1,3200,50,0.46,I,real time speech to text,ok,,,,,,,,,,
voice to text android,P1,920,33,0.43,I,speech to text app,ok,,,,,,,,,,
dictara,P1,590,6,0,I,voice to text software,ok,,,,,,,,,,
whisper api,P1,880,38,1.56,I,whisper speech to text,ok,,,,,,,,,,
whisper model,P1,990,45,1.81,I,whisper speech to text,ok,,,,,,,,,,
best voicemail to text app,P1,590,10,1.56,I,speech to text app,ok,,,,,,,,,,
dragon speech recognition softwares,P1,590,14,1.55,I,speech recognition software,ok,,,,,,,,,,
dragon naturallyspeaking speech recognition software,P1,590,15,1.55,I,speech recognition software,ok,,,,,,,,,,
dragonfly speech recognition software,P1,590,16,1.55,I,speech recognition software,ok,,,,,,,,,,
dragon speech recognition software,P1,590,17,1.55,I,speech recognition software,ok,,,,,,,,,,
speech recognition software dragon,P1,590,17,1.55,I,speech recognition software,ok,,,,,,,,,,
open ai whisper,P1,720,32,1.48,"I,N",whisper speech to text,ok,,,,,,,,,,
openai whisper api,P1,660,26,2.53,I,whisper speech to text,ok,,,,,,,,,,
voice note android,P1,590,21,0.8,I,speech to text app,ok,,,,,,,,,,
whispering text to speech,P1,590,21,0.83,I,whisper speech to text,ok,,,,,,,,,,
what is asr,P1,610,24,0,I,automatic speech recognition,ok,,,,,,,,,,
voice dictation software for mac,P1,590,23,1.32,I,voice to text software,ok,,,,,,,,,,
convert mp3 audio to text,P1,590,23,1.14,I,real time speech to text,ok,,,,,,,,,,
google audio to text transcription,P1,590,24,1.82,"I,N",speech to text app,ok,,,,,,,,,,
speech to text windows,P1,590,24,1.75,I,voice to text software,ok,,,,,,,,,,
speak to text windows,P1,590,24,1.75,I,voice to text software,ok,,,,,,,,,,
convert mp3 into text,P1,590,25,1.14,I,real time speech to text,ok,,,,,,,,,,
voice notes android,P1,590,27,0.8,I,speech to text app,ok,,,,,,,,,,
voice dictation software mac,P1,590,27,1.32,I,speech recognition software,ok,,,,,,,,,,
mac voice dictation software,P1,590,27,1.32,I,speech recognition software,ok,,,,,,,,,,
sonix ai transcription,P1,590,27,3.01,"I,N",ai transcription,ok,,,,,,,,,,
whisper text to speech,P1,590,28,0.83,I,whisper speech to text,ok,,,,,,,,,,
whisper web,P1,660,36,1.51,I,whisper speech to text,ok,,,,,,,,,,
transcription apps for iphone,P1,590,29,1.72,I,best speech to text,ok,,,,,,,,,,
speech to text api python,P1,590,30,2.25,I,whisper speech to text,ok,,,,,,,,,,
google speech-to-text,P1,880,54,1.52,"I,N",real time speech to text,ok,,,,,,,,,,
video to text transcription,P1,810,51,0.93,I,ai transcription,ok,,,,,,,,,,
what is whisper,P1,590,34,0.87,I,whisper speech to text,ok,,,,,,,,,,
