keyword,priority,volume,kd,cpc,intent,seed,flag,published,Ссылка конкурента 1,Ссылка конкурента 2,Ссылка конкурента 3,Заголовок конкурента 1,Заголовок конкурента 2,Заголовок конкурента 3,Сниппет конкурента 1,Сниппет конкурента 2,Сниппет конкурента 3
notes website,P1,3200,55,1.26,I,offline note taking app,ok,,,,,,,,,,
add notes,P1,880,36,0.81,I,offline note taking app,ok,,,,,,,,,,
apps to take notes,P1,880,38,2.03,I,offline note taking app,ok,,,,,,,,,,
free notes,P1,760,29,0.82,I,offline note taking app,ok,,,,,,,,,,
best note,P1,880,40,1.82,"L,C",offline note taking app,ok,,,,,,,,,,
notes to write,P1,760,32,1.25,I,offline note taking app,ok,,,,,,,,,,
note taking app handwriting,P1,590,14,0,I,offline note taking app,ok,,,,,,,,,,
offline notes,P1,590,14,0.24,I,offline note taking app,ok,,,,,,,,,,
handwriting note taking app,P1,590,14,0,I,offline note taking app,ok,,,,,,,,,,
free note taking apps,P1,720,30,1.48,I,offline note taking app,ok,,,,,,,,,,
noter download,P1,590,16,0.84,I,offline note taking app,ok,,,,,,,,,,
best notebooks for note taking,P1,590,19,0.2,I,offline note taking app,ok,,,,,,,,,,
handwritten note taking app,P1,590,21,0,I,offline note taking app,ok,,,,,,,,,,
markdown note taking app,P1,590,23,0,I,offline note taking app,ok,,,,,,,,,,
note taking app for ios,P1,590,25,0,I,offline note taking app,ok,,,,,,,,,,
taking notes on a laptop,P1,590,27,0.47,I,offline note taking app,ok,,,,,,,,,,
note taking software,P1,610,30,1.95,I,offline note taking app,ok,,,,,,,,,,
take notes on laptop,P1,590,28,0.47,I,offline note taking app,ok,,,,,,,,,,
app for notes,P1,720,42,0.59,I,offline note taking app,ok,,,,,,,,,,
note writing,P1,660,37,1.25,I,offline note taking app,ok,,,,,,,,,,
notebook for desktop,P1,590,30,1.14,I,offline note taking app,ok,,,,,,,,,,
laptop note taking,P1,590,30,0.47,I,offline note taking app,ok,,,,,,,,,,
personal notes,P1,590,35,0.88,I,offline note taking app,ok,,,,,,,,,,
notes on android,P1,590,36,0.55,I,offline note taking app,ok,,,,,,,,,,
android notes,P1,590,36,0.55,I,offline note taking app,ok,,,,,,,,,,
note for android,P1,590,36,0.55,I,offline note taking app,ok,,,,,,,,,,
notes web,P1,660,43,1.26,I,offline note taking app,ok,,,,,,,,,,
free notepad,P1,610,39,0.47,I,offline note taking app,ok,,,,,,,,,,
note taking applications for windows,P1,590,37,1.54,I,offline note taking app,ok,,,,,,,,,,
how do i make notes,P1,590,37,0.78,I,offline note taking app,ok,,,,,,,,,,
text note,P1,660,44,0.76,I,offline note taking app,ok,,,,,,,,,,
notes for android,P1,590,38,0.55,I,offline note taking app,ok,,,,,,,,,,
note for desktop,P1,590,38,1.14,I,offline note taking app,ok,,,,,,,,,,
every note,P1,660,46,1.87,"I,N",offline note taking app,ok,,,,,,,,,,
notes download,P1,590,41,0.84,I,offline note taking app,ok,,,,,,,,,,
note for windows,P1,590,42,1.22,I,offline note taking app,ok,,,,,,,,,,
google note taking app,P1,590,43,1.75,I,offline note taking app,ok,,,,,,,,,,
notes software for windows,P1,590,43,1.22,I,offline note taking app,ok,,,,,,,,,,
take a note for me,P1,590,43,2.43,I,offline note taking app,ok,,,,,,,,,,
notes android,P1,590,43,0.55,I,offline note taking app,ok,,,,,,,,,,
taking notes laptop,P1,590,43,0.47,I,offline note taking app,ok,,,,,,,,,,
notes for desktop,P1,590,44,1.14,I,offline note taking app,ok,,,,,,,,,,
note desktop,P1,590,44,1.14,I,offline note taking app,ok,,,,,,,,,,
note taking application for windows,P1,590,44,1.54,I,offline note taking app,ok,,,,,,,,,,
simply notes,P1,500,35,0.36,I,offline note taking app,ok,,,,,,,,,,
notes for windows,P1,590,45,1.22,I,offline note taking app,ok,,,,,,,,,,
note taking application windows,P1,590,48,1.54,I,offline note taking app,ok,,,,,,,,,,
notes for download,P1,590,48,0.84,I,offline note taking app,ok,,,,,,,,,,
note download,P1,590,49,0.84,I,offline note taking app,ok,,,,,,,,,,
note taking app google,P1,590,50,1.75,I,offline note taking app,ok,,,,,,,,,,
notes desktop,P1,590,50,1.14,I,offline note taking app,ok,,,,,,,,,,
notes software windows,P1,590,50,1.22,I,offline note taking app,ok,,,,,,,,,,
notes downloads,P1,590,52,0.84,I,offline note taking app,ok,,,,,,,,,,
download note,P1,590,53,0.84,I,offline note taking app,ok,,,,,,,,,,
note downloads,P1,590,54,0.84,I,offline note taking app,ok,,,,,,,,,,
download notes,P1,590,55,0.84,I,offline note taking app,ok,,,,,,,,,,
notepad app,P2,8000,63,0.62,I,offline note taking app,ok,,,,,,,,,,
online note,P2,3600,60,1.24,I,offline note taking app,ok,,,,,,,,,,
write a note,P2,2900,56,0.73,I,offline note taking app,ok,,,,,,,,,,
write notes,P2,2400,58,0.73,I,offline note taking app,ok,,,,,,,,,,
notes free,P2,1600,58,0.67,I,offline note taking app,ok,,,,,,,,,,
text notes,P2,1300,58,0.76,I,offline note taking app,ok,,,,,,,,,,
notes for free,P2,1300,58,0.82,I,offline note taking app,ok,,,,,,,,,,
writing notes,P2,1300,63,0.73,I,offline note taking app,ok,,,,,,,,,,
note free,P2,1000,58,0.67,I,offline note taking app,ok,,,,,,,,,,
application notes,P2,1100,63,0.59,I,offline note taking app,ok,,,,,,,,,,
free notebooks,P2,480,24,0.55,I,offline note taking app,ok,,,,,,,,,,
iphone dictate,P2,470,26,0.69,I,offline transcription,ok,,,,,,,,,,
dictation iphone,P2,470,30,0.69,I,offline transcription,ok,,,,,,,,,,
vibe transcription,P2,390,17,2.46,I,offline transcription,ok,,,,,,,,,,
app notes,P2,720,56,0.59,I,offline note taking app,ok,,,,,,,,,,
free notebook,P2,480,35,0.55,I,offline note taking app,ok,,,,,,,,,,
video transcribe software,P2,480,43,2.48,I,offline transcription,ok,,,,,,,,,,
downloadable notes,P2,590,57,0.84,I,offline note taking app,ok,,,,,,,,,,
audio texting app,P2,390,37,2.13,I,offline transcription,ok,,,,,,,,,,
transcribers online,P2,590,63,0.98,I,offline transcription,ok,,,,,,,,,,
speech notes app,P2,260,18,1.13,I,offline transcription,ok,,,,,,,,,,
program for transcribing audio,P2,320,46,2.67,I,offline transcription,ok,,,,,,,,,,
transcription of speech,P2,390,56,1.73,I,offline transcription,ok,,,,,,,,,,
transcription writer,P2,390,57,1.07,"L,C",offline transcription,ok,,,,,,,,,,
conversation transcriptions,P2,260,37,1.67,I,offline transcription,ok,,,,,,,,,,
notes voice to text,P2,320,49,1.28,I,offline transcription,ok,,,,,,,,,,
write transcription,P2,390,61,1.07,I,offline transcription,ok,,,,,,,,,,
google voice transcribe,P2,210,29,1.98,I,offline transcription,ok,,,,,,,,,,
note transcriber,P2,260,46,2.08,I,offline transcription,ok,,,,,,,,,,
note dictation,P2,260,46,1.63,I,offline transcription,ok,,,,,,,,,,
transcription platforms,P2,260,53,2.6,I,offline transcription,ok,,,,,,,,,,
software to transcribe audio to text,P2,210,44,2.74,I,offline transcription,ok,,,,,,,,,,
transcription platform,P2,260,59,2.6,I,offline transcription,ok,,,,,,,,,,
transcript typer,P2,260,62,0.77,I,offline transcription,ok,,,,,,,,,,
audio typer,P2,260,63,1.43,I,offline transcription,ok,,,,,,,,,,
transcript reader,P2,210,55,1.39,I,offline transcription,ok,,,,,,,,,,
note taking,P3,9900,75,1.63,I,offline note taking app,ok,,,,,,,,,,
notes taking,P3,9900,75,1.63,I,offline note taking app,ok,,,,,,,,,,
online notes,P3,10800,78,1.24,I,offline note taking app,ok,,,,,,,,,,
note app,P3,8100,72,0.74,I,offline note taking app,ok,,,,,,,,,,
app for note taking,P3,8000,75,2.03,I,offline note taking app,ok,,,,,,,,,,
take notes,P3,8100,76,1.39,I,offline note taking app,ok,,,,,,,,,,
notes apps,P3,6600,72,0.74,I,offline note taking app,ok,,,,,,,,,,
notebook app,P3,6600,75,0.74,I,offline note taking app,ok,,,,,,,,,,
note apps,P3,6600,76,0.74,I,offline note taking app,ok,,,,,,,,,,
note taking app,P3,18700,92,2.03,I,offline note taking app,ok,,,,,,,,,,
best note taking app,P3,5400,73,1.68,I,offline note taking app,ok,,,,,,,,,,
app for taking notes,P3,3600,74,2.03,I,offline note taking app,ok,,,,,,,,,,
note taking apps,P3,2900,74,2,I,offline note taking app,ok,,,,,,,,,,
simple notes,P3,2400,72,0.36,"I,N",offline note taking app,ok,,,,,,,,,,
app note,P3,2400,74,0.59,I,offline note taking app,ok,,,,,,,,,,
notes app,P3,60500,99,0.59,I,offline note taking app,ok,,,,,,,,,,
notation app,P3,1900,75,0.59,I,offline note taking app,ok,,,,,,,,,,
best note taking apps,P3,1800,74,1.68,I,offline note taking app,ok,,,,,,,,,,
note-taking app,P3,1800,75,2.03,I,offline note taking app,ok,,,,,,,,,,
notes app android,P3,1600,74,0.58,I,offline note taking app,ok,,,,,,,,,,
make a note,P3,1600,74,0.92,I,offline note taking app,ok,,,,,,,,,,
free note taking app,P3,1500,75,1.46,I,offline note taking app,ok,,,,,,,,,,
all notes,P3,1300,73,0.51,I,offline note taking app,ok,,,,,,,,,,
best notes app,P3,1300,74,1.14,I,offline note taking app,ok,,,,,,,,,,
notes list,P3,1300,78,0.8,I,offline note taking app,ok,,,,,,,,,,
mem notes,P3,170,25,3.55,"I,N",offline transcription,ok,,,,,,,,,,
free audio transcription software,P3,170,41,2.46,I,offline transcription,ok,,,,,,,,,,
app that turns voice into text,P3,170,44,1.62,I,offline transcription,ok,,,,,,,,,,
audio transcription software free,P3,170,51,2.46,I,offline transcription,ok,,,,,,,,,,
best software for audio transcription,P3,170,53,4.93,I,offline transcription,ok,,,,,,,,,,
software that transcription audio to text,P3,140,44,2.49,I,offline transcription,ok,,,,,,,,,,
dictation transcription,P3,170,54,1.82,"L,C",offline transcription,ok,,,,,,,,,,
dictation transcriber,P3,170,54,1.82,"L,C",offline transcription,ok,,,,,,,,,,
program to transcribe audio to text,P3,140,47,2.49,I,offline transcription,ok,,,,,,,,,,
voice transcription freeware,P3,140,49,1.73,I,offline transcription,ok,,,,,,,,,,
transcribe video app,P3,110,36,2.46,I,offline transcription,ok,,,,,,,,,,
software that transcribes audio to text,P3,140,51,2.49,I,offline transcription,ok,,,,,,,,,,
free voice transcription,P3,140,52,1.73,I,offline transcription,ok,,,,,,,,,,
voice transcription program,P3,170,61,2.21,I,offline transcription,ok,,,,,,,,,,
transcribing conversations,P3,170,61,2.24,I,offline transcription,ok,,,,,,,,,,
record text,P3,170,61,1.2,I,offline transcription,ok,,,,,,,,,,
transcription of notes,P3,140,53,2.09,I,offline transcription,ok,,,,,,,,,,
audio to text software,P3,110,43,2.94,I,offline transcription,ok,,,,,,,,,,
transcript programs,P3,110,45,2.55,"L,C",offline transcription,ok,,,,,,,,,,
sound to text transcription,P3,150,60,1.48,I,offline transcription,ok,,,,,,,,,,
video transcript app,P3,110,47,2.46,I,offline transcription,ok,,,,,,,,,,
transcribe dictation,P3,170,66,1.82,I,offline transcription,ok,,,,,,,,,,
app for transcribing video,P3,110,49,2.46,I,offline transcription,ok,,,,,,,,,,
best app for transcribing audio,P3,90,38,3.4,I,offline transcription,ok,,,,,,,,,,
