keyword,priority,volume,kd,cpc,intent,seed,flag,published,Ссылка конкурента 1,Ссылка конкурента 2,Ссылка конкурента 3,Заголовок конкурента 1,Заголовок конкурента 2,Заголовок конкурента 3,Сниппет конкурента 1,Сниппет конкурента 2,Сниппет конкурента 3
voicemail voice to text,P1,590,6,0.66,I,what is speech to text,ok,,,,,,,,,,
state street stock,P1,880,42,1.02,I,what is stt,ok,,,,,,,,,,
how to voice text,P1,610,23,0.3,I,what is speech to text,ok,,,,,,,,,,
voice message text,P1,590,26,0.9,I,what is speech to text,ok,,,,,,,,,,
how to convert audio files to text,P1,590,34,1.83,I,what is speech to text,ok,,,,,,,,,,
how to convert audio into text,P1,590,35,1.83,I,what is speech to text,ok,,,,,,,,,,
text speak,P1,590,37,0.57,I,what is speech to text,ok,,,,,,,,,,
transcribe audio file into text,P1,590,38,2.04,I,what is speech to text,ok,,,,,,,,,,
how can i convert an audio file to text,P1,590,41,1.83,I,what is speech to text,ok,,,,,,,,,,
minutes definition,P1,500,31,0,I,what is meeting minutes,ok,,,,,,,,,,
transcribe audio files to text,P1,590,44,2.04,I,what is speech to text,ok,,,,,,,,,,
how to convert sound to text,P1,590,48,1.83,I,what is speech to text,ok,,,,,,,,,,
speak to talk,P1,590,53,1.37,I,what is speech to text,ok,,,,,,,,,,
text to talk,P2,3600,65,0.02,I,what is speech to text,ok,,,,,,,,,,
whispr,P2,1300,58,0.93,"L,C",what is whisper ai,ok,,,,,,,,,,
text to,P2,1300,65,0.2,I,what is speech to text,ok,,,,,,,,,,
speak words,P2,810,61,0.02,I,what is speech to text,ok,,,,,,,,,,
stt meaning,P2,320,12,0,I,what is stt,ok,,,,,,,,,,
what is security transaction tax,P2,320,16,0,I,what is stt,ok,,,,,,,,,,
what is stt tax,P2,320,16,0,I,what is stt,ok,,,,,,,,,,
meaning of stt,P2,320,16,0,I,what is stt,ok,,,,,,,,,,
free convert text to audio,P2,590,56,0.8,I,what is speech to text,ok,,,,,,,,,,
convert text to audio free,P2,590,56,0.8,I,what is speech to text,ok,,,,,,,,,,
type to speak,P2,590,58,0.21,I,what is speech to text,ok,,,,,,,,,,
what is minutes,P2,390,38,0.47,I,what is meeting minutes,ok,,,,,,,,,,
whisper types,P2,210,30,1.13,I,what is whisper ai,ok,,,,,,,,,,
stt,P3,14800,91,2.34,I,what is stt,ok,,,,,,,,,,
stt stock,P3,3200,70,1.85,I,what is stt,ok,,,,,,,,,,
how to talk to text,P3,1100,73,0.31,I,what is speech to text,ok,,,,,,,,,,
transcribe text to audio,P3,590,68,1.24,I,what is speech to text,ok,,,,,,,,,,
word speaker,P3,590,69,0.02,I,what is speech to text,ok,,,,,,,,,,
whisper price,P3,170,17,0.92,I,what is whisper ai,ok,,,,,,,,,,
whisper reviews,P3,140,7,0,"L,C",what is whisper ai,ok,,,,,,,,,,
whisper review,P3,140,12,0,"L,C",what is whisper ai,ok,,,,,,,,,,
whisper streaming,P3,140,17,1.77,I,what is whisper ai,ok,,,,,,,,,,
whisper installation,P3,140,21,1.14,I,what is whisper ai,ok,,,,,,,,,,
installing whisper,P3,140,21,1.14,I,what is whisper ai,ok,,,,,,,,,,
install whisper,P3,140,25,1.14,I,what is whisper ai,ok,,,,,,,,,,
what is taking meeting minutes,P3,110,7,0,I,what is meeting minutes,ok,,,,,,,,,,
whisper install,P3,140,28,1.14,I,what is whisper ai,ok,,,,,,,,,,
python whisper,P3,140,28,3.61,I,what is whisper ai,ok,,,,,,,,,,
whisper pro,P3,140,31,1.92,"I,N",what is whisper ai,ok,,,,,,,,,,
what is taking minutes at a meeting,P3,110,13,0,I,what is meeting minutes,ok,,,,,,,,,,
whisper python,P3,140,32,2.1,I,what is whisper ai,ok,,,,,,,,,,
whisper login,P3,110,14,0.36,I,what is whisper ai,ok,,,,,,,,,,
open ai whisper api,P3,140,33,2.38,I,what is whisper ai,ok,,,,,,,,,,
whisper latin,P3,110,15,0,I,what is whisper ai,ok,,,,,,,,,,
how is use whisper,P3,110,15,1.11,I,what is whisper ai,ok,,,,,,,,,,
how to use in whisper,P3,110,18,1.11,I,what is whisper ai,ok,,,,,,,,,,
how can use whisper,P3,110,20,1.11,I,what is whisper ai,ok,,,,,,,,,,
state street ticker,P3,140,40,3.5,I,what is stt,ok,,,,,,,,,,
how to use whisper,P3,110,24,1.11,I,what is whisper ai,ok,,,,,,,,,,
whisper app for windows,P3,110,25,0.93,I,what is whisper ai,ok,,,,,,,,,,
whisper how to use,P3,110,25,1.55,I,what is whisper ai,ok,,,,,,,,,,
whisper speech to text,P3,130,39,0.97,I,what is whisper ai,ok,,,,,,,,,,
use for whisper,P3,110,29,1.55,I,what is whisper ai,ok,,,,,,,,,,
whisper ai model,P3,140,45,1.12,I,what is whisper ai,ok,,,,,,,,,,
whisper ai models,P3,140,45,1.12,I,what is whisper ai,ok,,,,,,,,,,
stt share price,P3,110,30,0,I,what is stt,ok,,,,,,,,,,
using whisper,P3,110,30,1.55,I,what is whisper ai,ok,,,,,,,,,,
stt tax,P3,90,15,0,I,what is stt,ok,,,,,,,,,,
securities transaction tax,P3,90,16,0,I,what is stt,ok,,,,,,,,,,
whisper use,P3,110,36,1.55,I,what is whisper ai,ok,,,,,,,,,,
what is text to speech software,P3,70,0,2.7,I,what is speech to text,ok,,,,,,,,,,
how to use openai whisper,P3,110,37,1.04,I,what is whisper ai,ok,,,,,,,,,,
use whisper,P3,110,38,1.55,I,what is whisper ai,ok,,,,,,,,,,
whisper using,P3,110,38,1.55,I,what is whisper ai,ok,,,,,,,,,,
securities transactions tax,P3,90,26,0,I,what is stt,ok,,,,,,,,,,
what does stt stand for,P3,70,7,0,I,what is stt,ok,,,,,,,,,,
what is the purpose of meeting minutes,P3,70,14,0.04,I,what is meeting minutes,ok,,,,,,,,,,
what is the purpose of the minutes of a meeting,P3,70,14,0.04,I,what is meeting minutes,ok,,,,,,,,,,
what is the purpose of minutes of a meeting,P3,70,15,0.04,I,what is meeting minutes,ok,,,,,,,,,,
state street bank stock,P3,70,38,1.02,I,what is stt,ok,,,,,,,,,,
stt stock price,P3,60,34,0.62,I,what is stt,ok,,,,,,,,,,
what is or stt wages in box 14,P3,40,12,0,I,what is stt,ok,,,,,,,,,,
stock stt,P3,50,33,0,I,what is stt,ok,,,,,,,,,,
what is the best text to speech program,P3,40,28,2.38,I,what is speech to text,ok,,,,,,,,,,
what is the best text to speech software,P3,40,28,2.38,I,what is speech to text,ok,,,,,,,,,,
what is the best text to speech,P3,40,31,2.23,I,what is speech to text,ok,,,,,,,,,,
securities transaction tax india,P3,30,16,0,"I,N",what is stt,ok,,,,,,,,,,
stt tax india,P3,30,16,0,I,what is stt,ok,,,,,,,,,,
what is text to speech,P3,40,47,0.45,I,what is speech to text,ok,,,,,,,,,,
security transaction tax wiki,P3,30,34,0,I,what is stt,ok,,,,,,,,,,
what is text to speech on kindle,P3,20,6,0,I,what is speech to text,ok,,,,,,,,,,
stt abbreviation,P3,20,6,0,I,what is stt,ok,,,,,,,,,,
what is speech to text software,P3,30,39,0,I,what is speech to text,ok,,,,,,,,,,
what is the best free text to speech,P3,30,51,1.19,I,what is speech to text,ok,,,,,,,,,,
what is google text to speech,P3,30,56,0,"I,N",what is speech to text,ok,,,,,,,,,,
what is text to speech technology,P3,20,37,0,I,what is speech to text,ok,,,,,,,,,,
what is the best text to speech app for iphone,P3,20,41,1.23,I,what is speech to text,ok,,,,,,,,,,
what is the best app for text to speech,P3,20,45,1.02,I,what is speech to text,ok,,,,,,,,,,
what is a braille notetaker,P3,10,5,0,I,what is a notetaker,ok,,,,,,,,,,
what is stt welding,P3,10,5,0,I,what is stt,ok,,,,,,,,,,
stt calculation nse,P3,10,6,0,I,what is stt,ok,,,,,,,,,,
transaction in securities,P3,10,6,0,I,what is stt,ok,,,,,,,,,,
stt 2021,P3,10,6,0,I,what is stt,ok,,,,,,,,,,
what is minutes of meeting,P3,10,7,0.04,I,what is meeting minutes,ok,,,,,,,,,,
stt stands for,P3,10,7,0,I,what is stt,ok,,,,,,,,,,
how to calculate securities transaction tax,P3,10,10,0,"I,N",what is stt,ok,,,,,,,,,,
how to calculate stt,P3,10,10,0,"I,N",what is stt,ok,,,,,,,,,,
stt charges in nse,P3,10,11,0,I,what is stt,ok,,,,,,,,,,
securities transaction tax zerodha,P3,10,12,0,I,what is stt,ok,,,,,,,,,,
what is text to speech on gps,P3,10,13,0,I,what is speech to text,ok,,,,,,,,,,
stt tax exemption,P3,10,13,0,"I,N",what is stt,ok,,,,,,,,,,
stt stocks to trade,P3,10,13,3.4,"I,N",what is stt,ok,,,,,,,,,,
rate of securities transaction tax in india,P3,10,15,0,"I,N",what is stt,ok,,,,,,,,,,
security transaction tax calculation,P3,10,15,0,"I,N",what is stt,ok,,,,,,,,,,
stt act,P3,10,15,0,I,what is stt,ok,,,,,,,,,,
stt calculation,P3,10,15,0,"I,N",what is stt,ok,,,,,,,,,,
what is taking minutes during a meeting,P3,10,16,0,I,what is meeting minutes,ok,,,,,,,,,,
what is the purpose of taking minutes in a meeting,P3,10,16,0,I,what is meeting minutes,ok,,,,,,,,,,
security transaction tax meaning,P3,10,16,0,"I,N",what is stt,ok,,,,,,,,,,
stt rate,P3,10,16,0,"I,N",what is stt,ok,,,,,,,,,,
what is stt charges,P3,10,16,0,"I,N",what is stt,ok,,,,,,,,,,
securities transaction tax rate in india,P3,10,16,0,"I,N",what is stt,ok,,,,,,,,,,
securities transaction tax stt,P3,10,16,0,"I,N",what is stt,ok,,,,,,,,,,
security transaction charges,P3,10,16,0,I,what is stt,ok,,,,,,,,,,
security transaction tax rate,P3,10,16,0,"I,N",what is stt,ok,,,,,,,,,,
securities transaction tax calculation,P3,10,16,0,I,what is stt,ok,,,,,,,,,,
securities transaction tax act,P3,10,17,0,I,what is stt,ok,,,,,,,,,,
define stt,P3,10,18,0,"I,N",what is stt,ok,,,,,,,,,,
what is minutes of meeting format,P3,10,19,0,I,what is meeting minutes,ok,,,,,,,,,,
what is the meaning of minutes of meeting,P3,10,19,0,I,what is meeting minutes,ok,,,,,,,,,,
what is text to speech in android,P3,10,21,0,I,what is speech to text,ok,,,,,,,,,,
how much stt on stock trading,P3,10,22,0,"I,N",what is stt,ok,,,,,,,,,,
what is meeting minutes report,P3,10,23,0,I,what is meeting minutes,ok,,,,,,,,,,
what is text to speech gps,P3,10,25,0,I,what is speech to text,ok,,,,,,,,,,
what is minutes of meeting means,P3,10,25,0,I,what is meeting minutes,ok,,,,,,,,,,
what is the purpose of taking minutes at a meeting,P3,10,26,0,I,what is meeting minutes,ok,,,,,,,,,,
security transaction tax,P3,10,26,2.34,I,what is stt,ok,,,,,,,,,,
what is the format for minutes of a meeting,P3,10,27,0,I,what is meeting minutes,ok,,,,,,,,,,
share transaction tax,P3,10,27,0,"I,N",what is stt,ok,,,,,,,,,,
what is google text to speech used for,P3,10,30,0,I,what is speech to text,ok,,,,,,,,,,
what is a meeting minute,P3,10,31,0.04,I,what is meeting minutes,ok,,,,,,,,,,
what is the best speech to text program,P3,10,32,1.07,I,what is speech to text,ok,,,,,,,,,,
stt finance,P3,10,33,0,"I,N",what is stt,ok,,,,,,,,,,
what is the best text to speech app for android,P3,10,35,0,I,what is speech to text,ok,,,,,,,,,,
stock transaction tax,P3,10,37,0,I,what is stt,ok,,,,,,,,,,
what is minutes of meeting sample,P3,10,40,0,"I,N",what is meeting minutes,ok,,,,,,,,,,
what is text to speech output,P3,10,50,0,I,what is speech to text,ok,,,,,,,,,,
